bacc_inst,field,field_1,field_2,current_inst,year,...6
"university of california, berkeley",chemistry - chemical catalysis,chemistry,chemical catalysis,"university of california, berkeley",2025,NA
texas a&m university,chemistry - chemical catalysis,chemistry,chemical catalysis,texas a&m university,2025,NA
"university of california, berkeley",chemistry - chemical catalysis,chemistry,chemical catalysis,"university of california, berkeley",2025,NA
baldwin wallace university,chemistry - chemical catalysis,chemistry,chemical catalysis,trustees of boston university,2025,NA
university of kansas,chemistry - chemical catalysis,chemistry,chemical catalysis,university of kansas,2025,NA
harvey mudd college,chemistry - chemical catalysis,chemistry,chemical catalysis,NA,2025,NA
haverford college,chemistry - chemical catalysis,chemistry,chemical catalysis,haverford college,2025,NA
university of florida,chemistry - chemical catalysis,chemistry,chemical catalysis,university of florida,2025,NA
arizona state university,chemistry - chemical catalysis,chemistry,chemical catalysis,princeton university,2025,NA
university of pittsburgh,chemistry - chemical catalysis,chemistry,chemical catalysis,NA,2025,NA
calvin university,chemistry - chemical measurement and imaging,chemistry,chemical measurement and imaging,colorado school of mines,2025,NA
university of arkansas,chemistry - chemical measurement and imaging,chemistry,chemical measurement and imaging,university of arkansas,2025,NA
university of massachusetts amherst,chemistry - chemical measurement and imaging,chemistry,chemical measurement and imaging,university of massachusetts amherst,2025,NA
mississippi state university,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",mississippi state university,2025,NA
suny at binghamton,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",suny at binghamton,2025,NA
northwestern university,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",california institute of technology,2025,NA
grand valley state university,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of wisconsin-madison,2025,NA
north carolina state university,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",north carolina state university,2025,NA
university of chicago,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of chicago,2025,NA
university of chicago,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of chicago,2025,NA
university of richmond,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",massachusetts institute of technology,2025,NA
university of texas at austin,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of texas at austin,2025,NA
gettysburg college,chemistry - chemical synthesis,chemistry,chemical synthesis,university of north carolina at chapel hill,2025,NA
university of california-los angeles,chemistry - chemical synthesis,chemistry,chemical synthesis,university of california-los angeles,2025,NA
college of william and mary,chemistry - chemical synthesis,chemistry,chemical synthesis,college of william and mary,2025,NA
cornell university,chemistry - chemical synthesis,chemistry,chemical synthesis,"university of california, berkeley",2025,NA
university of texas at dallas,chemistry - chemical synthesis,chemistry,chemical synthesis,university of texas at dallas,2025,NA
university of california-santa barbara,chemistry - chemical synthesis,chemistry,chemical synthesis,university of california-santa barbara,2025,NA
university of california-los angeles,chemistry - chemical synthesis,chemistry,chemical synthesis,university of california-los angeles,2025,NA
university of california-irvine,chemistry - chemical synthesis,chemistry,chemical synthesis,university of california-irvine,2025,NA
regents of the university of michigan - ann arbor,chemistry - chemical synthesis,chemistry,chemical synthesis,university of chicago,2025,NA
university of minnesota-twin cities,chemistry - chemical synthesis,chemistry,chemical synthesis,stanford university,2025,NA
drexel university,chemistry - chemical synthesis,chemistry,chemical synthesis,NA,2025,NA
mount st. mary's university,chemistry - chemical synthesis,chemistry,chemical synthesis,mount st. mary's university,2025,NA
university of southern california,chemistry - chemical synthesis,chemistry,chemical synthesis,university of california-los angeles,2025,NA
regents of the university of michigan - ann arbor,chemistry - chemical synthesis,chemistry,chemical synthesis,cornell university,2025,NA
villanova university,chemistry - chemical synthesis,chemistry,chemical synthesis,yale university,2025,NA
university of puerto rico-rio piedras,chemistry - chemical synthesis,chemistry,chemical synthesis,university of puerto rico-rio piedras,2025,NA
university of pennsylvania,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",princeton university,2025,NA
university of texas at san antonio,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",university of texas at san antonio,2025,NA
university of california san diego,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",joan and sanford i. weill medical college of cornell university,2025,NA
university of north carolina at chapel hill,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",university of north carolina at chapel hill,2025,NA
chatham college,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",chatham college,2025,NA
haverford college,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",NA,2025,NA
university of california-riverside,chemistry - chemistry of life processes,chemistry,chemistry of life processes,cornell university,2025,NA
tufts university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,boston college,2025,NA
amherst college,chemistry - chemistry of life processes,chemistry,chemistry of life processes,california institute of technology,2025,NA
university of chicago,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of chicago,2025,NA
cornell university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of california-berkeley,2025,NA
harvard university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,harvard university,2025,NA
university of south carolina at columbia,chemistry - chemistry of life processes,chemistry,chemistry of life processes,NA,2025,NA
pennsylvania state univ university park,chemistry - chemistry of life processes,chemistry,chemistry of life processes,pennsylvania state univ university park,2025,NA
massachusetts institute of technology,chemistry - chemistry of life processes,chemistry,chemistry of life processes,massachusetts institute of technology,2025,NA
stanford leland junior university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,massachusetts institute of technology,2025,NA
rockford college,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of notre dame,2025,NA
"university of california, berkeley",chemistry - chemistry of life processes,chemistry,chemistry of life processes,"university of california, berkeley",2025,NA
elon university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,NA,2025,NA
university of alabama tuscaloosa,chemistry - computationally intensive research,chemistry,computationally intensive research,university of alabama tuscaloosa,2025,NA
california state university-dominguez hills foundation,chemistry - environmental chemical systems,chemistry,environmental chemical systems,university of california-irvine,2025,NA
arizona state university,chemistry - environmental chemical systems,chemistry,environmental chemical systems,university of minnesota-twin cities,2025,NA
ohio state university,chemistry - environmental chemical systems,chemistry,environmental chemical systems,ohio state university,2025,NA
reed college,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",princeton university,2025,NA
iowa state university of science and technology,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",university of washington,2025,NA
ohio state university,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",ohio state university,2025,NA
harvey mudd college,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",harvey mudd college,2025,NA
virginia polytechnic institute and state university,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",virginia polytechnic institute and state university,2025,NA
bryn mawr college,"chemistry - macromolecular (including polymer chemistry), supramolecular, and na",chemistry,"macromolecular (including polymer chemistry), supramolecular, and na",university of washington,2025,NA
